day,price,sub_category,main_category
2017-03-31,10000,Beras Kualitas Bawah 1,Beras
2017-04-03,10000,Beras Kualitas Bawah 1,Beras
2017-04-04,10000,Beras Kualitas Bawah 1,Beras
2017-04-05,10000,Beras Kualitas Bawah 1,Beras
2017-04-06,10000,Beras Kualitas Bawah 1,Beras
2017-04-07,10000,Beras Kualitas Bawah 1,Beras
2017-04-10,10000,Beras Kualitas Bawah 1,Beras
2017-04-11,9950,Beras Kualitas Bawah 1,Beras
2017-04-12,9950,Beras Kualitas Bawah 1,Beras
2017-04-13,10000,Beras Kualitas Bawah 1,Beras
2017-04-17,10000,Beras Kualitas Bawah 1,Beras
2017-04-18,10000,Beras Kualitas Bawah 1,Beras
2017-04-19,10000,Beras Kualitas Bawah 1,Beras
2017-04-20,9950,Beras Kualitas Bawah 1,Beras
2017-04-21,10000,Beras Kualitas Bawah 1,Beras
2017-04-25,10000,Beras Kualitas Bawah 1,Beras
2017-04-26,10000,Beras Kualitas Bawah 1,Beras
2017-04-27,9950,Beras Kualitas Bawah 1,Beras
2017-04-28,9950,Beras Kualitas Bawah 1,Beras
2017-05-02,9950,Beras Kualitas Bawah 1,Beras
2017-05-03,9950,Beras Kualitas Bawah 1,Beras
2017-05-04,10000,Beras Kualitas Bawah 1,Beras
2017-05-05,10000,Beras Kualitas Bawah 1,Beras
2017-05-08,10000,Beras Kualitas Bawah 1,Beras
2017-05-09,10000,Beras Kualitas Bawah 1,Beras
2017-05-10,10000,Beras Kualitas Bawah 1,Beras
2017-05-12,10000,Beras Kualitas Bawah 1,Beras
2017-05-15,10000,Beras Kualitas Bawah 1,Beras
2017-05-16,10050,Beras Kualitas Bawah 1,Beras
2017-05-17,10050,Beras Kualitas Bawah 1,Beras
2017-05-18,10050,Beras Kualitas Bawah 1,Beras
2017-05-19,10050,Beras Kualitas Bawah 1,Beras
2017-05-22,10050,Beras Kualitas Bawah 1,Beras
2017-05-23,10050,Beras Kualitas Bawah 1,Beras
