Y,X1,X2,X3,X4,Z1,Z2,Z3,Z4,Z5,Z6,Z7
7.64969262371151,8.73873546136347,0,2.70805020110221,3.56671182013973,50,6,0,1,1,1,0
6.90775527898214,8.01433573729942,3.43398720448515,2.99573227355399,3.90600493310258,55,9,0,1,0,1,0
6.5792512120101,7.41697962138115,4.11087386417331,3.2188758248682,3.39785848039664,53,9,0,0,1,1,1
5.19295685089021,6.72383244082121,2.77258872223978,1.94591014905531,2.33214389523559,70,1,0,1,0,1,1
6.29156913955832,6.72383244082121,4.11087386417331,3.2188758248682,3.2846635654062,52,9,0,1,0,1,0
7.33302301438648,8.11162807830774,3.91202300542815,1.94591014905531,2.19722457733622,56,6,0,0,0,0,0
8.1886891244442,8.80477525886769,4.11087386417331,3.09104245335832,2.88480071284671,31,12,0,0,0,0,0
7.27239839257005,8.51659301134421,3.91202300542815,1.94591014905531,2.27212588550934,48,16,0,1,1,0,0
7.49554194388426,7.82244472948932,3.49650756146648,2.56494935746154,2.77258872223978,53,6,0,0,0,1,0
6.80239476332431,7.41697962138115,3.93182563272433,3.25809653802148,3.22286784613774,30,6,0,1,0,1,0
6.29156913955832,6.72383244082121,5.52146091786225,3.61091791264422,3.62966009445397,60,6,0,0,0,1,1
7.13886699994552,8.11162807830774,4.60517018598809,2.99573227355399,3.35689712276558,33,9,0,1,0,0,0
7.82404601085629,9.21024036697585,5.00394630594546,2.99573227355399,3.3603753871419,70,6,0,0,1,1,0
5.59842195899838,6.72383244082121,3.52636052461616,2.63905732961526,2.54160199346455,70,1,0,0,0,0,0
7.39018142822643,8.11162807830774,5.58724865840025,3.29583686600433,3.15700042115011,70,6,0,1,0,0,0
8.37101068123816,8.9226582995244,3.52636052461616,2.63905732961526,2.61739583283408,48,16,0,1,1,1,0
8.65869275368994,9.21034037197618,4.43081679884331,2.63905732961526,2.91777073208428,58,12,0,1,1,1,0
8.52516136106542,9.21034037197618,3.93182563272433,3.29583686600433,3.41114771251532,60,6,0,1,1,1,0
7.13886699994552,7.82404601085629,5.01727983681492,4.38202663467388,4.13196142579341,47,6,0,1,0,1,0
7.96554557312999,8.51719319141624,3.04452243772342,1.94591014905531,1.87180217690159,57,9,0,1,1,1,0
7.96554557312999,8.51719319141624,4.79579054559674,3.29583686600433,3.27714473299218,63,6,0,1,1,1,0
8.65869275368994,9.21034037197618,4.62497281328427,2.63905732961526,2.71469474382088,50,16,0,1,1,1,0
8.52516136106542,9.21034037197618,5.52545293913178,2.39789527279837,4.30406509320417,60,1,0,1,1,1,0
7.83201418050547,8.51719319141624,5.35185813347607,4.39444915467244,4.59511985013459,57,9,0,1,1,1,0
7.13886699994552,7.82404601085629,5.70711026474888,2.39789527279837,4.59511985013459,53,6,0,1,1,1,0
7.2152399787301,7.82404601085629,6.55250788703459,4.87519732320115,4.58496747867057,50,12,0,1,0,0,0
7.60090245954208,8.51719319141624,5.01727983681492,2.77258872223978,3.40119738166216,40,6,0,1,0,1,0
7.13886699994552,7.82404601085629,4.39444915467244,2.56494935746154,3.17805383034795,36,12,0,1,0,1,0
7.58069975222456,8.51719319141624,4.39444915467244,2.39789527279837,3.09104245335832,38,12,0,1,1,1,0
7.60090245954208,8.51719319141624,5.01727983681492,2.77258872223978,3.43398720448515,51,1,0,1,0,1,0
7.49554194388426,7.82404601085629,4.61512051684126,2.39789527279837,3.2188758248682,51,6,0,1,0,1,0
7.39018142822643,7.82404601085629,3.93182563272433,2.39789527279837,3.04452243772342,46,9,0,1,0,1,1
7.13886699994552,7.82404601085629,4.11087386417331,2.19722457733622,3.04452243772342,40,9,0,1,0,1,0
7.41457288135059,7.82404601085629,3.43398720448515,2.39789527279837,4.63860496207433,36,12,0,1,0,1,1
7.09007683577609,7.82404601085629,3.25809653802148,1.94591014905531,4.50534985070588,36,12,0,1,0,1,0
7.52833176670725,8.51719319141624,3.93182563272433,2.39789527279837,4.57264699428253,45,6,0,1,0,1,0
7.00306545878646,7.82404601085629,3.71357206670431,2.39789527279837,4.71133038181648,52,9,0,1,0,1,0
7.09007683577609,7.82404601085629,3.43398720448515,2.07944154167984,4.69592454925656,30,12,0,1,0,1,0
7.09007683577609,7.82404601085629,3.43398720448515,1.79175946922806,4.72738781871234,30,9,0,1,0,1,0
7.60090245954208,8.51719319141624,3.43398720448515,2.39789527279837,4.8194747886351,47,1,0,1,0,1,0
7.52833176670725,8.51719319141624,3.29583686600433,1.94591014905531,4.67282883446191,35,12,0,1,0,1,0
7.60090245954208,8.51719319141624,3.71357206670431,1.94591014905531,4.67282883446191,48,6,0,1,0,1,0
7.60090245954208,8.51719319141624,3.25809653802148,1.79175946922806,4.72738781871234,46,9,0,1,0,1,0
7.2152399787301,7.82404601085629,3.43398720448515,2.56494935746154,4.71492104994721,40,9,0,1,0,1,0
7.64969262371151,8.51719319141624,2.83321334405622,1.79175946922806,4.69318106331081,51,12,0,1,0,1,0
6.21460809842219,7.49554194388426,3.43398720448515,1.94591014905531,4.68398136641238,30,6,0,1,0,0,0
7.62559507213245,8.9226582995244,0,4.33073334028633,3.83297979808769,58,1,0,1,1,0,0
7.37775890822787,8.51719319141624,0,3.93182563272433,3.82209829790016,45,6,0,1,1,0,0
7.17011954344963,8.51719319141624,0,3.25809653802148,3.74242022104197,38,6,0,1,1,0,0
